home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession
Fulham,AFC Bournemouth,0,3,11,12,0.52,0.48
Liverpool,Cardiff City,4,1,14,3,0.79,0.21
Southampton,Newcastle United,0,0,18,5,0.5,0.5
Watford,Huddersfield Town,3,0,13,12,0.48,0.52
Leicester City,West Ham United,1,1,19,10,0.64,0.36
Burnley,Chelsea,0,4,6,18,0.3,0.7
Crystal Palace,Arsenal,2,2,15,6,0.42,0.58
Manchester United,Everton,2,1,14,14,0.53,0.47
Tottenham Hotspur,Manchester City,0,1,5,9,0.48,0.52
AFC Bournemouth,Manchester United,1,2,11,15,0.48,0.52
Cardiff City,Leicester City,0,1,11,10,0.4,0.6
Everton,Brighton & Hove Albion,3,1,13,4,0.61,0.39
Newcastle United,Watford,1,0,7,12,0.41,0.59
West Ham United,Burnley,4,2,17,5,0.62,0.38
Arsenal,Liverpool,1,1,10,10,0.61,0.39
Wolverhampton Wanderers,Tottenham Hotspur,2,3,12,10,0.48,0.52
Manchester City,Southampton,6,1,14,12,0.67,0.33
Chelsea,Crystal Palace,3,1,12,5,0.73,0.27
Huddersfield Town,Fulham,1,0,9,5,0.45,0.55
Cardiff City,Brighton & Hove Albion,2,1,16,6,0.6,0.4
Huddersfield Town,West Ham United,1,1,15,10,0.43,0.57
Leicester City,Burnley,0,0,15,5,0.63,0.37
Newcastle United,AFC Bournemouth,2,1,15,10,0.39,0.61
Southampton,Watford,1,1,11,10,0.42,0.58
Crystal Palace,Tottenham Hotspur,0,1,11,9,0.35,0.65
Liverpool,Fulham,2,0,15,8,0.73,0.27
Chelsea,Everton,0,0,12,5,0.68,0.32
Arsenal,Wolverhampton Wanderers,1,1,7,12,0.71,0.29
Manchester City,Manchester United,3,1,12,3,0.64,0.36
Brighton & Hove Albion,Leicester City,1,1,12,7,0.54,0.46
Everton,Cardiff City,1,0,14,6,0.7,0.3
Fulham,Southampton,3,2,9,15,0.37,0.63
Manchester United,Crystal Palace,0,0,10,12,0.59,0.41
Watford,Liverpool,0,3,6,11,0.36,0.64
West Ham United,Manchester City,0,4,7,9,0.3,0.7
Tottenham Hotspur,Chelsea,3,1,16,8,0.39,0.61
AFC Bournemouth,Arsenal,1,2,8,16,0.41,0.59
Wolverhampton Wanderers,Huddersfield Town,0,2,10,11,0.44,0.56
Burnley,Newcastle United,1,2,13,12,0.56,0.44
Cardiff City,Wolverhampton Wanderers,2,1,12,14,0.47,0.53
Crystal Palace,Burnley,2,0,21,3,0.58,0.42
Huddersfield Town,Brighton & Hove Albion,1,2,6,10,0.32,0.68
Leicester City,Watford,2,0,7,7,0.37,0.63
Manchester City,AFC Bournemouth,3,1,12,4,0.73,0.27
Newcastle United,West Ham United,0,3,12,8,0.58,0.42
Southampton,Manchester United,2,2,13,10,0.4,0.6
Chelsea,Fulham,2,0,11,9,0.66,0.34
Arsenal,Tottenham Hotspur,4,2,19,10,0.59,0.41
Liverpool,Everton,1,0,14,8,0.57,0.43
AFC Bournemouth,Huddersfield Town,2,1,7,17,0.32,0.68
Brighton & Hove Albion,Crystal Palace,3,1,7,14,0.31,0.69
