,home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession,outcome,win_prob,draw_prob,lose_prob,RPS,BS
288,Everton,Liverpool,0,0,7,7,0.42,0.58,0.0,0.11975867280269244,0.2688681006248298,0.6113732265724774,0.1940596809405523,0.30755773872168274
289,Crystal Palace,Brighton & Hove Albion,1,2,9,5,0.62,0.38,-1.0,0.3024724559519787,0.2980184357846838,0.399509108263337,0.2260394488341569,0.18029796191195469
290,Cardiff City,West Ham United,2,0,14,8,0.29,0.71,1.0,0.27700739056174084,0.2378333826978285,0.48515922674043066,0.3790488942968579,0.2715541688397359
291,Huddersfield Town,AFC Bournemouth,0,2,5,9,0.56,0.44,-1.0,0.22414859051546812,0.23997378640172953,0.5358776230828025,0.13282608569267015,0.10774652984844102
292,Leicester City,Fulham,3,1,17,5,0.52,0.48,1.0,0.6914478477639229,0.17869314159020838,0.1298590106458688,0.05603389664771958,0.047999677382272475
293,Newcastle United,Everton,3,2,15,6,0.45,0.55,1.0,0.29676920809849394,0.3313604430516289,0.37187034884987785,0.31641055151607433,0.2475402820838403
294,Southampton,Tottenham Hotspur,2,1,9,15,0.36,0.64,1.0,0.09955235268384714,0.18316338282217584,0.7172842644939772,0.6626513408239303,0.4529505021515745
295,Manchester City,Watford,3,1,17,2,0.71,0.29,1.0,0.7873802272736622,0.13762530812615936,0.07499446460017853,0.02541566873743348,0.02325735430389576
296,Liverpool,Burnley,4,2,14,3,0.68,0.32,1.0,0.8650631596445568,0.10468166888757688,0.030255171467866326,0.009561663142830175,0.010027192695582877
297,Chelsea,Wolverhampton Wanderers,1,1,9,3,0.75,0.25,0.0,0.6326526980974225,0.21591429239670734,0.1514330095058703,0.2115906963889767,0.3459905965485699
298,Arsenal,Manchester United,2,0,11,12,0.46,0.54,1.0,0.5907280994809068,0.1572418938609431,0.25203000665815023,0.11551130640530888,0.08524920866519796
299,AFC Bournemouth,Newcastle United,2,2,11,9,0.48,0.52,0.0,0.5047845281424488,0.25194403121340103,0.24327144064415032,0.15699420684253748,0.2911920487074441
300,Burnley,Leicester City,1,2,10,5,0.62,0.38,-1.0,0.2112968932897382,0.20232813345500367,0.5863749732552579,0.10786601993174172,0.08555623781695647
301,West Ham United,Huddersfield Town,4,3,11,12,0.64,0.36,1.0,0.6005468993778839,0.24275563591614566,0.15669746470597035,0.09205843752095065,0.08101572460365117
