,3 Step model,,,,,Soccer_ve_new_updated,,,,,,,,,,,,,,,0.924116054,,,,,0.941112899
0.735682606,0.13865736,0.125660034,,,0.811960794,0.078625167,0.10941404,,,1,,1,,1,0,0,,-0.306956495,0,0,0.306956495,,-0.208303223,0,0,0.208303223
0.252492927,0.211609936,0.535897137,,,0.509823464,0.132352302,0.357824234,,,1,,1,,1,0,0,,-1.376372043,0,0,1.376372043,,-0.673690762,0,0,0.673690762
0.186042608,0.271850072,0.54210732,,,0.39759454,0.135190947,0.467214513,,,-1,,3,,0,0,1,,0,0,-0.61229129,0.61229129,,0,0,-0.760966784,0.760966784
0.356924966,0.278321339,0.364753696,,,0.595508166,0.124288122,0.280203711,,,1,,1,,1,0,0,,-1.030229699,0,0,1.030229699,,-0.518340177,0,0,0.518340177
0.672014403,0.155200538,0.172785059,,,0.840389165,0.070838248,0.088772588,,,0,,2,,0,1,0,,0,-1.863037205,0,1.863037205,,0,-2.647356198,0,2.647356198
0.07948948,0.179618577,0.740891943,,,0.050370751,0.050502378,0.899126871,,,1,,1,,1,0,0,,-2.532130593,0,0,2.532130593,,-2.98834461,0,0,2.98834461
0.297070466,0.199806802,0.503122732,,,0.2931121,0.127769384,0.579118516,,,1,,1,,1,0,0,,-1.213785909,0,0,1.213785909,,-1.227200149,0,0,1.227200149
0.303087649,0.29474921,0.40216314,,,0.52535273,0.131274698,0.343372572,,,0,,2,,0,1,0,,0,-1.22163042,0,1.22163042,,0,-2.03046322,0,2.03046322
0.68638815,0.219755702,0.093856148,,,0.806705008,0.081490982,0.11180401,,,0,,2,,0,1,0,,0,-1.515238795,0,1.515238795,,0,-2.507262915,0,2.507262915
0.613581944,0.202985956,0.1834321,,,0.631317366,0.12030641,0.248376224,,,1,,1,,1,0,0,,-0.488441456,0,0,0.488441456,,-0.459946586,0,0,0.459946586
0.642069151,0.226843167,0.131087682,,,0.658568185,0.114963777,0.226468039,,,1,,1,,1,0,0,,-0.443059269,0,0,0.443059269,,-0.417687217,0,0,0.417687217
0.41267001,0.246120661,0.341209328,,,0.321941218,0.131749981,0.546308802,,,0,,2,,0,1,0,,0,-1.401933371,0,1.401933371,,0,-2.026849236,0,2.026849236
0.404106282,0.228675182,0.367218537,,,0.156987664,0.096724861,0.746287475,,,0,,2,,0,1,0,,0,-1.475452702,0,1.475452702,,0,-2.335884815,0,2.335884815
0.761314364,0.165520168,0.073165468,,,0.788390012,0.086261761,0.125348227,,,1,,1,,1,0,0,,-0.272708913,0,0,0.272708913,,-0.237762372,0,0,0.237762372
0.540609357,0.246128898,0.213261745,,,0.736140267,0.098997723,0.164862009,,,1,,1,,1,0,0,,-0.615058337,0,0,0.615058337,,-0.306334598,0,0,0.306334598
0.464944485,0.276631378,0.258424137,,,0.528442048,0.132021345,0.339536607,,,-1,,3,,0,0,1,,0,0,-1.353153102,1.353153102,,0,0,-1.080173512,1.080173512
0.279866888,0.212735238,0.507397874,,,0.264118696,0.122780857,0.613100447,,,1,,1,,1,0,0,,-1.273441189,0,0,1.273441189,,-1.331356671,0,0,1.331356671
0.451518763,0.215395394,0.333085843,,,0.488812296,0.135736242,0.375451461,,,-1,,3,,0,0,1,,0,0,-1.099355035,1.099355035,,0,0,-0.979626081,0.979626081
0.668065073,0.149466165,0.182468763,,,0.852007841,0.06594117,0.082050989,,,1,,1,,1,0,0,,-0.403369696,0,0,0.403369696,,-0.160159549,0,0,0.160159549
0.12436012,0.236875635,0.638764245,,,0.118371776,0.082377117,0.799251107,,,0,,2,,0,1,0,,0,-1.440220022,0,1.440220022,,0,-2.496447587,0,2.496447587
0.147505184,0.190510795,0.661984021,,,0.117580697,0.082230232,0.800189071,,,-1,,3,,0,0,1,,0,0,-0.412513861,0.412513861,,0,0,-0.22290724,0.22290724
0.226418858,0.176199819,0.597381322,,,0.284534369,0.137943803,0.577521829,,,-1,,3,,0,0,1,,0,0,-0.515199639,0.515199639,,0,0,-0.549009038,0.549009038
0.258646528,0.303164462,0.43818901,,,0.754015491,0.096203175,0.149781335,,,0,,2,,0,1,0,,0,-1.193479842,0,1.193479842,,0,-2.341292918,0,2.341292918
0.14086099,0.183401721,0.675737288,,,0.343979229,0.131366761,0.52465401,,,-1,,3,,0,0,1,,0,0,-0.391950906,0.391950906,,0,0,-0.645016262,0.645016262
0.703989571,0.184655837,0.111354592,,,0.861031421,0.063620798,0.075347781,,,1,,1,,1,0,0,,-0.350991737,0,0,0.350991737,,-0.149624282,0,0,0.149624282
0.387905627,0.236561807,0.375532566,,,0.717474463,0.103384221,0.179141316,,,-1,,3,,0,0,1,,0,0,-0.979410085,0.979410085,,0,0,-1.71958031,1.71958031
0.335999077,0.270624975,0.393375947,,,0.393733455,0.135006974,0.471259571,,,1,,1,,1,0,0,,-1.090646866,0,0,1.090646866,,-0.932081109,0,0,0.932081109
0.59688275,0.190484069,0.212633181,,,0.723336497,0.104173255,0.172490248,,,-1,,3,,0,0,1,,0,0,-1.548186753,1.548186753,,0,0,-1.757414577,1.757414577
0.551549981,0.210305761,0.238144259,,,0.555658868,0.128710213,0.315630919,,,1,,1,,1,0,0,,-0.595022817,0,0,0.595022817,,-0.58760072,0,0,0.58760072
0.635756232,0.180298647,0.18394512,,,0.838840923,0.070399134,0.090759943,,,1,,1,,1,0,0,,-0.452940072,0,0,0.452940072,,-0.175734194,0,0,0.175734194
0.317462934,0.372280185,0.310256881,,,0.590623153,0.131172086,0.27820476,,,0,,2,,0,1,0,,0,-0.988108523,0,0.988108523,,0,-2.031245184,0,2.031245184
0.32789088,0.250452092,0.421657027,,,0.328497295,0.131436694,0.540066011,,,-1,,3,,0,0,1,,0,0,-0.863563028,0.863563028,,0,0,-0.616063904,0.616063904
0.664239806,0.182723591,0.153036603,,,0.541376379,0.13443137,0.324192252,,,1,,1,,1,0,0,,-0.409112041,0,0,0.409112041,,-0.613640532,0,0,0.613640532
0.137333001,0.150644397,0.712022602,,,0.150876407,0.094816218,0.754307374,,,1,,1,,1,0,0,,-1.985346638,0,0,1.985346638,,-1.891294274,0,0,1.891294274
