,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelly,,,,,,,,,,,,,,,,
,home,away,home_goal,away_goal,home_shots,away_shots,home_possession,away_possession,outcome,win_prob,draw_prob,lose_prob,,,,,,,,,,win_prob,draw_prob,lose_prob,RPS,BS,,,,,,,,,,,,,,,,,,,,Win,Draw,Loose,,,,,,,,,,,,,,
210,Brasil de Pelotas,Paysandu,0,0,12,7,0.58,0.42,0,0.411455863,0.306047404,0.282496732,,0,0,0,,0.411455863,0.306047404,0.282496732,,0.411455863,0.306047404,0.282496732,,,,2,,2.02,3.2,4.3,,0.495049505,0.3125,0.23255814,,1.040107644,,0.475959875,0.300449671,0.223590453,,,,0.120097379,0.089187218,0.115635507,,905.2458801,0,0,"R$ 1,568.42",188.3625961,139.8826183,181.364526,,,0.004160768,3.13346E-05,0.00346995,0.007662052
211,AvaÃ­,Juventude,1,0,17,9,0.57,0.43,1,0.591204338,0.243390648,0.165405014,,0,0,0,,0.591204338,0.243390648,0.165405014,,0.591204338,0.243390648,0.165405014,,,,1,,1.76,3.4,5.6,,0.568181818,0.294117647,0.178571429,,1.040870894,,0.54587156,0.282568807,0.171559633,,,,0.358934076,0.020858486,0.016370195,,0,447.6243786,0,"R$ 1,506.43",540.7091234,31.42185226,24.66055588,,,0.002055061,0.001534928,3.78793E-05,0.003627868
212,CriciÃºma,Coritiba,2,2,15,11,0.43,0.57,0,0.304946667,0.275203531,0.419849802,,0,0,0,,0.304946667,0.275203531,0.419849802,,0.304946667,0.275203531,0.419849802,,,,2,,2.32,3.06,3.54,,0.431034483,0.326797386,0.282485876,,1.040317744,,0.414329646,0.314132281,0.271538073,,,,0.005354713,0.03834194,0.255965565,,951.6480572,0,0,"R$ 1,861.29",9.966656336,71.3653428,476.4253034,,,0.011964636,0.001515448,0.021996369,0.035476453
213,Londrina,Ponte Preta,1,0,10,10,0.47,0.53,1,0.267654438,0.295718484,0.436627078,,0,0,0,,0.267654438,0.295718484,0.436627078,,0.267654438,0.295718484,0.436627078,,,,1,,2.61,3.01,3.09,,0.383141762,0.332225914,0.323624595,,1.038992272,,0.368762861,0.31975783,0.31147931,,,,0,0.061737914,0.254305744,,0,218.377949,0,"R$ 1,521.91",0,93.95938498,387.0297811,,,0.010222913,0.00057789,0.015661964,0.026462767
214,GoiÃ¡s,SÃ£o Bento,2,1,12,5,0.5,0.5,1,0.454936437,0.234817954,0.310245608,,0,0,0,,0.454936437,0.234817954,0.310245608,,0.454936437,0.234817954,0.310245608,,,,1,,1.72,3.55,5.61,,0.581395349,0.281690141,0.178253119,,1.041338609,,0.558315368,0.270507728,0.171176904,,,,0.138039017,0.019273716,0.187294736,,0,0,0,"R$ 1,040.92",143.6873226,20.06236115,194.9584966,,,0.010687203,0.00127376,0.019340104,0.031301068
215,Boa,Figueirense,0,2,10,4,0.57,0.43,-1,0.104998223,0.264854435,0.630147342,,0,0,0,,0.104998223,0.264854435,0.630147342,,0.104998223,0.264854435,0.630147342,,,,3,,2.57,3.07,3.08,,0.389105058,0.325732899,0.324675325,,1.039513282,,0.374314658,0.313351358,0.312333984,,,,0,0.025393339,0.51006531,,247.1421949,0,0,R$ 929.35,0,23.59935536,474.0303177,,,0.072531342,0.002351952,0.101005331,0.175888624
216,CRB,Fortaleza,2,1,11,6,0.47,0.53,1,0.158861873,0.285354736,0.555783392,,0,0,0,,0.158861873,0.285354736,0.555783392,,0.158861873,0.285354736,0.555783392,,,,1,,3.91,3.18,2.13,,0.255754476,0.314465409,0.469483568,,1.039703453,,0.245987907,0.302456828,0.451555265,,,,0,0.060623521,0.347230994,,0,0,1460.013379,"R$ 1,891.74",0,114.6836912,656.8693383,,,0.007590946,0.000292482,0.010863502,0.01874693
217,Guarani,AtlÃ©tico GO,2,0,22,5,0.55,0.45,1,0.495539136,0.199511431,0.304949432,,0,0,0,,0.495539136,0.199511431,0.304949432,,0.495539136,0.199511431,0.304949432,,,,1,,2.18,3.23,3.69,,0.458715596,0.309597523,0.27100271,,1.03931583,,0.441363042,0.297885892,0.260751066,,,,0.26413507,0,0.116588844,,0,0,0,"R$ 1,120.18",295.8795821,0,130.600827,,,0.002935049,0.009677535,0.001953496,0.014566079
218,Oeste,CSA,2,1,10,18,0.49,0.51,1,0.342649052,0.253897484,0.403453464,,0,0,0,,0.342649052,0.253897484,0.403453464,,0.342649052,0.253897484,0.403453464,,,,1,,2.54,3.04,3.14,,0.393700787,0.328947368,0.318471338,,1.041119493,,0.378151394,0.315955441,0.305893166,,,,0.083849466,0.008469025,0.213470491,,645.0174889,0,0,"R$ 1,338.72",112.2509536,11.33765248,285.7772058,,,0.001260416,0.00385119,0.009518012,0.014629618
219,Sampaio CorrÃªa,Vila Nova,0,0,26,9,0.6,0.4,0,0.296040136,0.347009372,0.356950492,,0,0,0,,0.296040136,0.347009372,0.356950492,,0.296040136,0.347009372,0.356950492,,,,2,,2.47,2.97,3.35,,0.4048583,0.336700337,0.298507463,,1.040066099,,0.389262086,0.323729749,0.287008165,,,,0.011036142,0.127147208,0.164995415,,285.1174221,0,0,"R$ 1,214.47",13.40308123,154.4166683,200.3822399,,,0.008690332,0.000541941,0.004891929,0.014124202
